failure_rate,correction_budget,final_instability,latency_ms,window,min_hits,seed
0.2746,8368308,0.643304573539003,2758.5554122924805,7,1,8
0.2659,8390075,0.6267771716419245,2757.8699588775635,7,1,9
0.2687,8415931,0.6271520094871339,2758.880138397217,7,1,10
0.2736,8391789,0.6405743513844886,2759.354829788208,7,1,11
0.2721,8376184,0.6382721353084003,2757.1732997894287,7,1,12
0.2713,8395075,0.638243527411839,2758.728504180908,7,1,13
0.2669,8422417,0.6308725701490375,2759.2785358428955,7,1,14
0.2657,8423966,0.63217134344714,2760.9338760375977,7,1,15
0.2653,8416564,0.6254047912873819,2758.838176727295,7,1,16
0.2631,8445103,0.6214504656874773,2762.208938598633,7,1,17
0.2699,8393515,0.6356963857729329,2760.728359222412,7,1,18
0.2725,8409395,0.6370580973671567,2759.5903873443604,7,1,19
0.2682,8422095,0.6296649307509509,2762.021780014038,7,1,20
0.2702,8417654,0.6270586811849357,2758.807897567749,7,1,21
0.2705,8412272,0.6443051116420917,2760.5648040771484,7,1,22
0.2741,8370752,0.6408899783267998,2758.526563644409,7,1,23
0.2671,8434643,0.6295947109681113,2757.7836513519287,7,1,24
0.2639,8432551,0.6243486855273394,2758.460760116577,7,1,25
0.2638,8427486,0.6273144438512501,2758.8107585906982,7,1,26
0.2701,8402998,0.6366186352488429,2757.953405380249,7,1,27
0.2692,8397305,0.6339939104188647,2761.1310482025146,7,1,28
0.2627,8434196,0.6315545953190774,2760.075807571411,7,1,29
0.2423,7596035,0.6006917357635966,2721.599578857422,7,2,0
0.2486,7552471,0.5988861698601166,2720.3140258789062,7,2,1
0.2444,7555707,0.5864795130846057,2718.0113792419434,7,2,2
0.2441,7561918,0.5924906198975266,2717.745542526245,7,2,3
0.2462,7567991,0.5995825153776371,2718.151807785034,7,2,4
0.2371,7595527,0.5848193583565386,2718.406915664673,7,2,5
0.2499,7522134,0.5952374099435057,2717.9300785064697,7,2,6
0.2475,7565647,0.6082232956916539,2719.395637512207,7,2,7
0.2484,7574374,0.595131430234899,2719.567060470581,7,2,8
0.2417,7563596,0.5866540239853255,2723.4601974487305,7,2,9
0.2504,7551871,0.5990690129961084,2720.4267978668213,7,2,10
0.2481,7554106,0.5951568806151637,2719.9079990386963,7,2,11
0.2475,7567455,0.5971946758789332,2719.4032669067383,7,2,12
0.2499,7539152,0.5978492252542739,2719.93350982666,7,2,13
0.2434,7582377,0.5867229082004518,2720.081090927124,7,2,14
0.2456,7581181,0.5957696413171759,2719.7017669677734,7,2,15
0.2455,7560920,0.5956676896576528,2719.419002532959,7,2,16
0.2428,7580905,0.5897357628748342,2719.5231914520264,7,2,17
0.2475,7552787,0.5966846697056687,2719.6006774902344,7,2,18
0.2528,7532965,0.5968367151849395,2717.0493602752686,7,2,19
0.2409,7610612,0.5830358044080381,2720.6859588623047,7,2,20
0.2422,7597991,0.5896137461775908,2721.1058139801025,7,2,21
0.2423,7579101,0.5954294103099473,2723.710775375366,7,2,22
0.2428,7582787,0.5957308837180866,2723.1035232543945,7,2,23
0.2437,7581578,0.5934778790760267,2719.769239425659,7,2,24
0.2397,7609810,0.5868853146650704,2720.630884170532,7,2,25
0.2439,7580270,0.5929579546091787,2724.168539047241,7,2,26
0.2489,7557530,0.5935980421195062,2720.6497192382812,7,2,27
0.2428,7563394,0.5975454938696545,2722.3899364471436,7,2,28
0.2399,7586338,0.5869025529557588,2720.3586101531982,7,2,29
0.1906,5674871,0.5087601995943704,2619.161367416382,7,3,0
0.1915,5662077,0.5017228057011084,2619.6846961975098,7,3,1
0.1935,5656235,0.5076870798167753,2623.0854988098145,7,3,2
0.1926,5655319,0.5131001324143333,2620.7051277160645,7,3,3
0.1914,5681959,0.5062994566482107,2621.1581230163574,7,3,4
0.1849,5674578,0.49437882444023945,2620.7094192504883,7,3,5
0.2003,5619882,0.5199991470715396,2619.265556335449,7,3,6
