mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
event_gated_no_cooccurrence,21,5000,1000,0,0.0,0.7468515155544304,0.11585973337490552,1502784.0,999,624.8419360053958,0.0
event_gated_no_cooccurrence,22,5000,1000,0,0.0,0.7360614814869378,0.11547577189809954,1500266.0,999,624.2815739969956,0.0
event_gated_no_cooccurrence,23,5000,1000,0,0.0,0.8817481289703087,0.11844021825980583,1501070.0,999,624.0825630084146,0.0002
event_gated_no_cooccurrence,24,5000,1000,0,0.0,1.0807282953712443,0.1171978517857875,1499779.0,999,625.9772179910215,0.0008
event_gated_no_cooccurrence,25,5000,1000,0,0.0,0.74126132765756,0.1172394384784874,1500726.0,999,623.692220004159,0.0
event_gated_no_cooccurrence,26,5000,1000,0,0.0,0.86102999974408,0.11912503414723696,1502246.0,999,623.5176570044132,0.0004
event_gated_no_cooccurrence,27,5000,1000,0,0.0,0.7635645177089506,0.11745228232029065,1502002.0,999,624.0126079937909,0.0004
event_gated_no_cooccurrence,28,5000,1000,0,0.0,0.8638061292672876,0.11668780472792964,1500830.0,999,624.1756189992884,0.0008
event_gated_no_cooccurrence,29,5000,1000,0,0.0,0.9279961214405841,0.1177361799442328,1501396.0,999,623.9521259994945,0.0004
event_gated_no_cooccurrence,30,5000,1000,0,0.0,0.9130410828398883,0.11712533477772068,1503027.0,999,624.8535810009344,0.0002
event_gated_no_cooccurrence,31,5000,1000,0,0.0,0.9302939798060748,0.11797176631630796,1502317.0,999,624.4859269936569,0.0004
event_gated_no_cooccurrence,32,5000,1000,0,0.0,0.8086627075316553,0.11938318375843142,1501488.0,999,623.7498820119072,0.0004
event_gated_no_cooccurrence,33,5000,1000,0,0.0,0.7162309647156138,0.11975596593745093,1501873.0,999,623.3544189890381,0.0
event_gated_no_cooccurrence,34,5000,1000,0,0.0,0.8023349515471512,0.11832867775412696,1502327.0,999,623.9127959997859,0.0002
event_gated_no_cooccurrence,35,5000,1000,0,0.0,0.7102426101779796,0.11646678450043443,1502080.0,999,623.2296800008044,0.0
event_gated_no_cooccurrence,36,5000,1000,0,0.0,0.7608885118627733,0.12018768169671745,1503779.0,999,624.0032289933879,0.0002
event_gated_no_cooccurrence,37,5000,1000,0,0.0,0.972637811506745,0.11923750908208958,1504144.0,999,624.1200939984992,0.0012
event_gated_no_cooccurrence,38,5000,1000,0,0.0,0.9561279987694602,0.11754037954502626,1501057.0,999,623.5489170067012,0.0002
event_gated_no_cooccurrence,39,5000,1000,0,0.0,0.767864471695862,0.11950861114650084,1502246.0,999,623.2552470028168,0.0002
event_gated_no_cooccurrence,40,5000,1000,0,0.0,0.7866929160685888,0.11611646438793409,1501704.0,999,623.6962789989775,0.0002
event_gated_no_cooccurrence,41,5000,1000,0,0.0,1.167259517435289,0.11928594622910985,1503329.0,999,623.2150860014372,0.0002
event_gated_no_cooccurrence,42,5000,1000,0,0.0,0.7456937101430774,0.1164363471806399,1501389.0,999,623.6829010013025,0.0
event_gated_no_cooccurrence,43,5000,1000,0,0.0,0.9467854070142246,0.11962437986525783,1501350.0,999,623.4703849913785,0.0004
event_gated_no_cooccurrence,44,5000,1000,0,0.0,0.7265439888188917,0.11932550159368611,1504785.0,999,623.0019289941993,0.0
event_gated_no_cooccurrence,45,5000,1000,0,0.0,0.9424616151132315,0.11870044154489934,1502602.0,999,623.015368997585,0.0006
event_gated_no_cooccurrence,46,5000,1000,0,0.0,0.9960479056648502,0.1189987866926259,1502249.0,999,622.9951449931832,0.001
event_gated_no_cooccurrence,47,5000,1000,0,0.0,0.7373363619459052,0.1162571184754958,1500824.0,999,622.3682849959005,0.0
event_gated_no_cooccurrence,48,5000,1000,0,0.0,0.9044850472692417,0.11859337371228933,1502633.0,999,622.6006100041559,0.0004
event_gated_no_cooccurrence,49,5000,1000,0,0.0,0.7454342364917524,0.11769086402544936,1501405.0,999,623.1204890063964,0.0
event_gated_duj,0,5000,1000,0,0.0,1.4586322760921915,0.34616749094817517,35958.0,998,565.4446519911289,0.0036
event_gated_duj,1,5000,1000,0,0.0,1.219349537651106,0.34454117706343884,35381.0,998,565.1452229940332,0.0022
event_gated_duj,2,5000,1000,0,0.0,1.1560761467187377,0.3476194590600461,35167.0,997,564.2632870003581,0.0088
event_gated_duj,3,5000,1000,0,0.0,1.0629428562488248,0.3469698638204246,34973.0,998,564.555292003206,0.004
event_gated_duj,4,5000,1000,0,0.0,1.2717851486431746,0.3463007130024381,35530.0,998,564.692254003603,0.0054
event_gated_duj,5,5000,1000,0,0.0,1.212308008768112,0.3453212791377024,35314.0,998,565.6367170013255,0.0022
event_gated_duj,6,5000,1000,0,0.0,1.408749012069741,0.34125589280667246,35413.0,998,564.4595139892772,0.0036
event_gated_duj,7,5000,1000,0,0.0,1.3128543036193394,0.3450066739259443,35448.0,998,565.2633029967546,0.0042
event_gated_duj,8,5000,1000,0,0.0,1.653564451467586,0.34170664221917585,35211.0,998,564.2911259928951,0.0036
event_gated_duj,9,5000,1000,0,0.0,1.1036932018927277,0.34561908312530376,34938.0,998,565.044802002376,0.0026
